Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Giant Ape,Monstrous Menagerie,7,Huge,Beast,N/A,0,0,0,0,14,115,20,14,18,6,12,6,3,16,0,0
Giant Air Elemental,Monstrous Menagerie,9,Huge,Elemental,N/A,0,0,0,0,14,127,10,18,14,6,10,6,4,16,0,Air Elemental
Giant Fire Elemental,Monstrous Menagerie,9,Huge,Elemental,N/A,0,0,0,0,14,127,10,18,14,6,10,6,4,16,0,Fire Elemental
Giant Water Elemental,Monstrous Menagerie,9,Huge,Elemental,N/A,0,0,0,0,14,157,18,14,18,6,10,6,4,16,0,Water Elemental
Ur-Otyugh,Monstrous Menagerie,10,Large,Aberration,N/A,0,1,0,0,14,144,16,10,16,6,14,5,4,15,0,Otyugh
Air Elemental,Monstrous Menagerie,5,Large,Elemental,N/A,0,0,0,0,14,90,10,18,14,6,10,6,3,15,1,0
Fire Elemental,Monstrous Menagerie,5,Large,Elemental,N/A,0,0,0,0,14,90,10,18,14,6,10,6,3,15,1,0
Phase Spider,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,14,39,14,14,12,6,10,4,2,12,0,0
Water Elemental,Monstrous Menagerie,5,Large,Elemental,N/A,0,0,0,0,14,114,18,14,18,6,10,6,3,15,1,0
Swarm of Mimics,Planestrider's Journal,3,Large,Monstrosity,N/A,0,0,0,0,14,33,16,14,10,5,13,8,2,13,0,0
Foundro,Planestrider's Journal,2,Tiny,Plant,N/A,0,0,0,0,14,45,17,14,15,4,13,14,2,13,0,0
Remorhaz Spawn,Monstrous Menagerie,5,Large,Monstrosity,N/A,0,0,0,0,14,95,18,14,18,4,12,5,3,15,0,0
Giant Walrus,Gate Pass Gazette #21,3,Huge,Beast,N/A,0,0,0,0,14,66,16,9,17,4,11,6,2,13,0,0
Kanos Spawn,Gate Pass Gazette #13,4,Medium,Fiend,N/A,0,0,0,0,14,78,16,14,12,4,12,5,2,13,0,Raptor
Bunyip,Monstrous Menagerie,8,Huge,Beast,N/A,0,0,0,0,14,150,23,15,22,3,12,8,3,17,0,0
Clay Guardian,Monstrous Menagerie,9,Large,Construct,N/A,0,0,0,0,14,133,20,10,18,3,10,1,4,17,0,0
Invisible Render,Monstrous Menagerie,8,Medium,Elemental,N/A,0,0,0,0,14,123,16,18,14,3,14,10,3,15,0,Invisible Stalker
Roc Juvenile,Monstrous Menagerie,8,Huge,Beast,N/A,0,0,0,0,14,147,22,12,18,3,12,8,3,17,0,0
Ankheg,Monstrous Menagerie,2,Large,Monstrosity,N/A,0,0,0,0,14,45,16,10,14,2,14,8,2,13,3,0
Ankheg Queen,Monstrous Menagerie,3,Huge,Monstrosity,N/A,0,1,0,0,14,59,16,10,14,2,14,8,2,13,0,Ankheg
Grick,Monstrous Menagerie,2,Medium,Monstrosity,N/A,0,0,0,0,14,33,14,14,14,2,14,5,2,12,1,0
Wallflower,Monstrous Menagerie,2,Medium,Plant,N/A,0,0,0,0,14,33,14,14,14,2,14,5,2,12,0,Grick
Allosaurus,Monstrous Menagerie,3,Huge,Beast,N/A,0,0,0,0,14,57,18,18,16,2,12,5,2,14,0,0
Diplodocus,Monstrous Menagerie,7,Gargantuan,Beast,N/A,0,0,0,0,14,139,24,8,20,2,12,5,3,18,0,0
Triceratops,Monstrous Menagerie,5,Huge,Beast,N/A,0,0,0,0,14,84,20,10,18,2,12,5,3,16,1,0
Dune Scorpion,Planestrider's Journal,5,Huge,Beast,N/A,0,0,0,0,14,104,18,13,17,2,9,8,3,15,0,0
Fire Stirge,To Save A Kingdom,0.25,Tiny,Beast,N/A,0,0,0,0,14,10,5,16,13,2,8,7,2,13,0,0
Frilled Lizard,To Save A Kingdom,2,Large,Beast,N/A,0,0,0,0,14,52,14,12,12,2,10,4,2,12,0,0
Giant Crocodile,Monstrous Menagerie,5,Huge,Beast,N/A,0,0,0,0,14,85,20,10,16,2,10,6,3,16,0,0
Giant Spider,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,14,26,14,16,12,2,10,4,2,13,0,0
Grave Guardian,To Save A Kingdom,1,Medium,Construct,N/A,0,0,0,0,14,30,16,15,16,2,12,1,2,13,0,0
Hlaupa,To Save A Kingdom,1,Large,Beast,N/A,0,0,0,0,14,30,15,13,14,2,11,6,2,12,0,0
Rime Ant,Gate Pass Gazette #11,2,Large,Monstrosity,N/A,0,0,0,0,14,45,16,10,14,2,14,8,2,13,0,Ankheg
Swarm of Poisonous Snakes,Monstrous Menagerie,2,Medium,Beast,N/A,0,0,0,0,14,45,8,18,10,1,10,4,2,14,1,0
Bolt-Thrower,Monstrous Menagerie,2,Small,Construct,N/A,0,0,0,0,14,44,6,16,14,1,6,1,2,13,0,0
Misery of Blood Maggots,Gate Pass Gazette #4,2,Medium,Monstrosity,N/A,0,0,0,0,14,45,9,18,12,1,8,6,2,14,0,0
Sandpit Vipers,Gate Pass Gazette #7,3,Medium,Beast,N/A,0,0,0,0,14,45,8,18,10,1,10,4,2,14,0,Swarm of Poisonous Snakes
Echo Emperor,Planestrider's Journal,15,Medium,Aberration,N/A,0,1,0,0,13,221,14,13,19,18,15,22,5,15,0,0
Elemental Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,13,36,14,13,10,15,12,8,2,12,0,0
Giant Lanternfish,Monstrous Menagerie,4,Large,Monstrosity,Fiend,0,0,0,0,13,85,16,16,16,14,16,18,2,13,0,Lamia
Lamia,Monstrous Menagerie,4,Large,Monstrosity,Fiend,0,0,0,0,13,85,16,16,16,14,16,18,2,13,2,0
Snake Lamia,Monstrous Menagerie,4,Large,Monstrosity,Fiend,0,0,0,0,13,85,16,16,16,14,16,18,2,13,0,Lamia
Tyskri,To Save A Kingdom,2,Medium,Fey,N/A,0,0,0,0,13,52,10,16,14,14,16,20,2,13,0,0
Wraith,Monstrous Menagerie,5,Medium,Undead,N/A,0,0,0,0,13,67,8,16,16,12,16,14,3,14,0,0
Cloaker,Monstrous Menagerie,8,Large,Aberration,N/A,0,0,0,0,13,97,18,16,14,12,12,12,3,15,2,0
Boggard Sovereign,Monstrous Menagerie,3,Large,Humanoid,N/A,0,0,0,0,13,67,16,12,14,12,14,12,2,13,0,0
Shadow Demon,Monstrous Menagerie,4,Medium,Fiend,N/A,0,0,0,0,13,45,5,16,10,12,14,16,2,13,0,0
Sand Ray,Monstrous Menagerie,8,Large,Aberration,N/A,0,0,0,0,13,97,18,16,14,12,12,12,3,15,0,Cloaker
Shroud Ray,Monstrous Menagerie,8,Large,Aberration,N/A,0,0,0,0,13,97,18,16,14,12,12,12,3,15,0,Cloaker
Squashling,Gate Pass Gazette #20,1,Tiny,Plant,N/A,0,0,0,0,13,36,8,9,15,12,14,13,2,10,0,0
Banshee,Monstrous Menagerie,4,Medium,Undead,N/A,0,0,0,0,13,58,8,16,10,12,10,18,2,13,1,0
Warlord's Ghost,Monstrous Menagerie,4,Medium,Undead,N/A,0,0,0,0,13,58,8,16,10,12,10,18,2,13,0,Banshee
Centaur,Monstrous Menagerie,2,Large,Fey,N/A,0,0,0,0,13,45,16,16,14,10,16,10,2,13,1,0
Horned Tauric,Monstrous Menagerie,2,Large,Fey,N/A,0,0,0,0,13,45,16,16,14,10,16,10,2,13,0,Centaur
Pegasus,Monstrous Menagerie,2,Large,Celestial,N/A,0,0,0,0,13,57,18,16,18,10,14,12,2,14,0,0
Warrior Band,Monstrous Menagerie,3,Large,Humanoid,N/A,0,0,1,0,13,55,12,12,12,10,14,10,2,11,0,0
Berserker Horde,Monstrous Menagerie,10,Large,Humanoid,N/A,0,0,1,0,13,225,14,10,16,10,10,12,4,14,0,0
Blink Dog,Monstrous Menagerie,0.25,Medium,Fey,N/A,0,0,0,0,13,22,14,16,12,10,12,10,2,13,0,0
Dragonbound Warrior,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,13,11,12,12,12,10,14,10,2,11,0,Warrior
Earless Hungerer,Gate Pass Gazette #1,0.5,Medium,Fey,N/A,0,0,0,0,13,22,12,14,10,10,10,16,2,12,0,Satyr
Family Capodecina,Adventures in Zeitgeist,1,Medium,Humanoid,N/A,0,0,1,0,13,36,13,12,10,10,11,14,2,11,0,0
Fey Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,13,44,17,10,12,10,9,17,2,13,0,0
Goblin,Monstrous Menagerie,0.25,Small,Humanoid,N/A,0,0,0,0,13,10,8,12,10,10,10,10,2,11,5,0
Goblin Alchemist,Monstrous Menagerie,0.5,Small,Humanoid,N/A,0,0,0,0,13,10,8,12,10,10,10,10,2,11,0,Goblin
Goblin Musketeer,Monstrous Menagerie,0.5,Small,Humanoid,N/A,0,0,0,0,13,10,8,12,10,10,10,10,2,11,0,Goblin
Goblin Shieldbearer,Monstrous Menagerie,0.5,Small,Humanoid,N/A,0,0,0,0,13,10,8,12,10,10,10,10,2,11,0,Goblin
Goblin Skulker,Monstrous Menagerie,0.5,Small,Humanoid,N/A,0,0,0,0,13,10,8,12,10,10,10,10,2,11,0,Goblin
Homunculus,Monstrous Menagerie,0,Tiny,Construct,N/A,0,0,0,0,13,5,4,16,10,10,10,10,2,13,0,0
Imp,Monstrous Menagerie,0.5,Tiny,Fiend,N/A,0,0,0,0,13,14,6,16,12,10,12,14,2,13,1,0
Imp Familiar,Monstrous Menagerie,0.5,Tiny,Fiend,N/A,0,0,0,0,13,14,6,16,12,10,12,14,2,13,0,Imp
Fell Nightmare,Monstrous Menagerie,5,Large,Fiend,N/A,0,0,0,0,13,93,18,14,16,10,12,14,3,15,0,Nightmare
Half-Demon Ogre,To Save A Kingdom,3,Large,Giant,N/A,0,0,0,0,13,68,19,8,16,10,10,13,2,14,0,0
John Henry,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,13,204,20,16,18,10,10,12,4,17,0,0
Merrow,Monstrous Menagerie,2,Large,Monstrosity,N/A,0,0,0,0,13,45,18,10,14,10,12,10,2,14,1,0
Merrow Mage,Monstrous Menagerie,4,Large,Monstrosity,N/A,0,0,0,0,13,45,18,10,14,10,12,14,2,14,0,Merrow
Nightmare,Monstrous Menagerie,3,Large,Fiend,N/A,0,0,0,0,13,68,18,14,16,10,12,14,2,14,1,0
Peryton,Monstrous Menagerie,2,Large,Monstrosity,N/A,0,0,0,0,13,34,16,16,16,10,12,12,2,13,0,0
Revenant,Monstrous Menagerie,5,Medium,Undead,N/A,0,0,0,0,13,110,18,16,18,10,12,18,3,15,0,0
Kuchnost Negotiator,Adventures in Zeitgeist,1,Medium,Humanoid,N/A,0,0,1,0,13,39,10,12,14,10,11,14,2,11,0,0
Weretiger,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,0,0,13,90,16,16,16,10,12,10,2,13,0,0
Pseudodragon,Monstrous Menagerie,0.25,Tiny,Dragon,N/A,0,0,0,0,13,7,6,14,12,10,12,10,2,12,1,0
Military Troop,Adventures in Zeitgeist,6,Huge,Humanoid,N/A,0,0,1,0,13,125,14,12,12,10,10,10,3,13,0,0
Pseudodragon Familiar,Monstrous Menagerie,0.25,Tiny,Dragon,N/A,0,0,0,0,13,7,6,14,12,10,12,10,2,12,0,Pseudodragon
Quasit,Monstrous Menagerie,0.5,Tiny,Fiend,N/A,0,0,0,0,13,14,5,16,12,10,12,12,2,13,1,0
Quasit Familiar,Monstrous Menagerie,0.5,Tiny,Fiend,N/A,0,0,0,0,13,14,5,16,12,10,12,12,2,13,0,Quasit
Rockborn Guard,Dungeon Delver's Guide,0.25,Medium,Humanoid,N/A,0,0,1,0,13,13,14,10,14,10,10,10,2,12,0,0
Satyr,Monstrous Menagerie,0.5,Medium,Fey,N/A,0,0,0,0,13,22,12,14,10,10,10,16,2,12,1,0
Shadow Elf Warrior,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,13,11,12,12,12,10,14,10,2,11,0,Warrior
Phantasmal Poltergeist,Gate Pass Gazette #8,1,Medium,Undead,N/A,0,0,0,0,13,36,6,16,10,10,8,16,2,13,0,Poltergeist
Poltergeist,Gate Pass Gazette #8,1,Medium,Undead,N/A,0,0,0,0,13,36,6,16,10,10,8,16,2,13,1,0
Warhordling Orc Warrior,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,13,11,12,12,12,10,14,10,2,11,0,Warrior
Warrior,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,13,11,12,12,12,10,14,10,2,11,3,0
Awakened Tree,Monstrous Menagerie,2,Huge,Plant,N/A,0,0,0,0,13,51,18,6,14,10,10,8,2,14,1,0
Berserker,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,13,45,14,10,16,10,10,12,2,12,1,0
Fiendbloom Awakened Tree,Monstrous Menagerie,2,Huge,Fiend,N/A,0,0,0,0,13,51,18,6,14,10,10,8,2,14,0,Awakened Tree
Ghast,Monstrous Menagerie,2,Medium,Undead,N/A,0,0,0,0,13,36,16,16,10,10,10,8,2,13,1,0
Shadow Elf Warrior,To Save A Kingdom,0.25,Medium,Humanoid,N/A,0,0,0,0,13,11,12,12,12,10,14,10,2,11,0,0
Spirit Soldier,To Save A Kingdom,0.25,Medium,Celestial,N/A,0,0,0,0,13,11,13,14,13,10,14,11,2,12,0,0
Lacedon Ghast,Monstrous Menagerie,2,Medium,Undead,N/A,0,0,0,0,13,36,16,16,10,10,10,8,2,13,0,Ghast
Orc Urk,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,13,45,14,10,16,10,10,12,2,12,0,Berserker
Beast Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,13,36,14,14,10,9,13,11,2,12,0,0
Kobold Cultist,To Save A Kingdom,1,Small,Humanoid,N/A,0,0,0,0,13,18,9,14,12,9,8,9,2,12,0,0
Kobold Elite Guard,To Save A Kingdom,2,Small,Humanoid,N/A,0,0,0,0,13,58,17,12,16,9,11,8,2,13,0,0
Kobold High Acolyte,To Save A Kingdom,3,Small,Humanoid,N/A,0,0,0,0,13,52,9,14,16,9,8,18,2,12,0,0
Monstrous Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,13,36,14,11,10,9,12,18,2,12,0,0
Sancho Panza,Mythological Figures & Maleficent Monsters ,1,Medium,Humanoid,N/A,0,0,1,1,13,13,13,16,14,9,11,15,2,13,0,0
Bearded Devil,Monstrous Menagerie,3,Medium,Fiend,N/A,0,0,0,0,13,52,16,14,14,8,12,10,2,13,0,0
Ettercap,Monstrous Menagerie,2,Medium,Monstrosity,N/A,0,0,0,0,13,44,14,16,13,8,12,8,2,13,0,0
Horde Demon Band,Monstrous Menagerie,13,Large,Fiend,N/A,0,0,0,0,13,260,16,12,14,8,8,8,5,16,0,0
Cyclops,Monstrous Menagerie,7,Huge,Giant,N/A,0,0,0,0,13,126,20,10,20,8,10,10,3,16,2,0
Merclops,Monstrous Menagerie,7,Huge,Giant,N/A,0,0,0,0,13,126,20,10,20,8,10,10,3,16,0,Cyclops
Horde Demon,Monstrous Menagerie,3,Medium,Fiend,N/A,0,0,0,0,13,52,16,12,14,8,8,8,2,13,0,0
Giant Elk,Monstrous Menagerie,2,Huge,Beast,N/A,0,0,0,0,13,42,18,14,14,6,14,10,2,14,0,0
Cloud Spider,Planestrider's Journal,2,Small,Elemental,N/A,0,0,0,0,13,66,12,16,14,6,13,7,2,13,0,0
Ghasthopper,Gate Pass Gazette #24,2,Tiny,Undead,N/A,0,0,0,0,13,31,2,16,14,6,14,10,2,13,0,0
Winter Wolf,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,13,67,18,12,14,6,12,8,2,14,0,0
Dire Tyrannosaurus Rex,Monstrous Menagerie,8,Huge,Beast,N/A,1,0,0,0,13,253,22,10,20,6,16,5,3,17,0,Tyrannosaurus Rex
Fogborn Skeleton,Monstrous Menagerie,0.25,Medium,Undead,N/A,0,0,0,0,13,13,10,14,14,6,8,5,2,12,0,Skeleton
Grimalkin,Monstrous Menagerie,0.5,Medium,Monstrosity,N/A,0,0,0,0,13,22,14,16,12,6,14,10,2,13,0,0
Hill Giant Chief,Monstrous Menagerie,8,Huge,Giant,N/A,0,0,0,0,13,126,20,8,18,6,10,6,3,16,0,Hill Giant
Skeleton,Monstrous Menagerie,0.25,Medium,Undead,N/A,0,0,0,0,13,13,10,14,14,6,8,5,2,12,4,0
Worg,Monstrous Menagerie,0.5,Large,Monstrosity,N/A,0,0,0,0,13,22,14,12,10,6,10,8,2,12,0,0
Hill Giant,Monstrous Menagerie,6,Huge,Giant,N/A,0,0,0,0,13,105,20,8,18,6,10,6,3,16,1,0
Burning Skeleton,Dungeon Delver's Guide,1,Medium,Undead,N/A,0,0,0,0,13,13,10,14,14,6,8,5,2,12,0,Skeleton
Fogborn Skeleton Horde,Monstrous Menagerie,4,Large,Undead,N/A,0,0,0,0,13,65,10,14,14,6,8,5,2,12,0,Skeleton Horde
Four-Armed Skeleton,Dungeon Delver's Guide,1,Medium,Undead,N/A,1,0,0,0,13,26,10,14,14,6,8,5,2,12,0,Skeleton
Skeleton Horde,Monstrous Menagerie,4,Large,Undead,N/A,0,0,0,0,13,65,10,14,14,6,8,5,2,12,1,0
Winged Skeleton,Dungeon Delver's Guide,1,Medium,Undead,N/A,0,0,0,0,13,13,10,14,14,6,8,5,2,12,0,Skeleton
Gobletskull,Gate Pass Gazette #6,0.25,Tiny,Undead,N/A,0,0,0,0,13,14,11,15,12,5,10,8,2,12,0,0
Phase Monster,Monstrous Menagerie,4,Large,Monstrosity,N/A,0,0,0,0,13,85,18,14,16,4,14,8,2,14,0,0
Raptor,Monstrous Menagerie,1,Medium,Beast,N/A,0,0,0,0,13,32,16,14,12,4,12,5,2,13,1,0
Mammoth,Monstrous Menagerie,6,Huge,Beast,N/A,0,0,0,0,13,115,24,8,20,4,10,6,3,18,0,0
Assaultskull,Gate Pass Gazette #6,2,Small,Undead,N/A,0,0,0,0,13,45,13,16,17,3,15,8,2,13,0,0
Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,5,0
Faerie Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,0,Chimera
Fiendish Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,0,Chimera
Sea Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,0,Chimera
Sewer Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,0,Chimera
Tundra Chimera,Monstrous Menagerie,7,Large,Monstrosity,N/A,0,1,0,0,13,114,18,10,18,3,16,10,3,15,0,Chimera
Owlbear,Monstrous Menagerie,3,Large,Monstrosity,N/A,0,0,0,0,13,59,18,12,16,3,12,5,2,14,1,0
Owlbear Recluse,Monstrous Menagerie,3,Large,Monstrosity,N/A,1,0,0,0,13,119,18,12,16,3,12,5,2,14,0,Owlbear
Jersey Devil,Mythological Figures & Maleficent Monsters ,13,Huge,Dragon,N/A,0,0,1,1,13,85,21,14,16,3,15,14,5,18,0,0
Maw Swarm,Dungeon Delver's Guide,4,Medium,Aberration,N/A,0,0,0,0,13,71,10,16,14,3,10,6,2,13,0,0
Slitherwhite,Dungeon Delver's Guide,1,Medium,Aberration,N/A,0,0,0,0,13,33,14,12,12,3,10,6,2,12,0,0
Dire Wolf,Monstrous Menagerie,1,Large,Beast,N/A,0,0,0,0,13,30,16,14,14,2,12,6,2,13,0,0
Plesiosaurus,Monstrous Menagerie,7,Large,Beast,N/A,0,0,0,0,13,45,18,14,14,2,12,5,3,15,0,0
Dire Fly,Planestrider's Journal,3,Huge,Beast,N/A,0,0,0,0,13,76,17,12,17,2,12,3,2,13,0,0
Ankheg Spawn,Monstrous Menagerie,0.25,Medium,Monstrosity,N/A,0,0,0,0,13,11,14,12,12,2,14,8,2,12,0,0
Deer,Monstrous Menagerie,0,Medium,Beast,N/A,0,0,0,0,13,4,10,16,10,2,14,4,2,13,0,0
Flying Snake,Monstrous Menagerie,0.25,Tiny,Beast,N/A,0,0,0,0,13,7,4,16,12,2,12,4,2,13,0,0
Gear Spider,Monstrous Menagerie,0.5,Tiny,Construct,N/A,0,0,0,0,13,28,6,15,12,2,6,1,2,12,0,0
Giant Bat,Monstrous Menagerie,0.25,Large,Beast,N/A,0,0,0,0,13,16,14,16,10,2,12,4,2,13,0,0
Giant Shark,Monstrous Menagerie,5,Huge,Beast,N/A,0,0,0,0,13,105,20,10,18,2,10,4,3,16,0,0
Giant Poisonous Snake,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,13,11,10,16,12,2,12,4,2,13,0,0
Stone Shark,Dungeon Delver's Guide,4,Large,Monstrosity,N/A,0,0,0,0,13,85,18,12,18,2,10,4,2,14,0,0
Giant Seahorse,Monstrous Menagerie,0.5,Large,Beast,N/A,0,0,0,0,13,22,12,14,10,2,12,4,2,12,0,0
Giant Wolf Spider,Monstrous Menagerie,0.25,Medium,Beast,N/A,0,0,0,0,13,13,12,16,10,2,12,4,2,13,0,0
Hawk,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,13,1,4,16,8,2,14,4,2,13,0,0
Pteranodon,Monstrous Menagerie,0.5,Large,Beast,N/A,0,0,0,0,13,30,12,14,14,2,11,5,2,12,0,0
Quipper,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,13,1,2,16,8,2,6,4,2,13,0,0
Skeletal Tyrannosaurus Rex,Monstrous Menagerie,8,Huge,Undead,N/A,0,0,0,0,13,126,22,10,20,2,8,5,3,17,0,0
Stirge,Monstrous Menagerie,0.25,Tiny,Beast,N/A,0,0,0,0,13,2,4,16,10,2,8,4,2,13,0,0
Tyrannosaurus Rex,Monstrous Menagerie,8,Huge,Beast,N/A,0,0,0,0,13,126,22,10,20,2,12,5,3,17,1,0
Weasel,Monstrous Menagerie,0,Tiny,Beast,N/A,0,0,0,0,13,1,2,16,8,2,12,4,2,13,0,0
Swarm of Quippers,Monstrous Menagerie,1,Medium,Beast,N/A,0,0,0,0,13,28,12,16,8,2,6,4,2,13,0,0
Dire Centipede,Monstrous Menagerie,2,Large,Beast,N/A,0,0,0,0,13,45,14,10,12,1,10,3,2,12,0,0
Giant Fire Beetle,Monstrous Menagerie,0,Small,Beast,N/A,0,0,0,0,13,4,8,10,12,1,6,4,2,10,0,0
Archmage,Monstrous Menagerie,11,Medium,Humanoid,N/A,0,0,1,0,12,117,10,14,14,20,16,14,4,14,0,0
Forest Gnome Illusionist,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,12,67,10,14,16,16,12,10,3,13,0,Mage
Mage,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,12,67,10,14,16,16,12,10,3,13,3,0
Necromancer,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,12,67,10,14,16,16,12,10,3,13,0,Mage
Oozefolk Oozemancer,Dungeon Delver's Guide,3,Small,Humanoid,N/A,0,0,1,0,12,52,10,14,16,16,12,10,2,12,0,0
Shadow Elf Mage,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,12,67,10,14,16,16,12,10,3,13,0,Mage
Flumph,Monstrous Menagerie,0.25,Small,Aberration,N/A,0,0,0,0,12,7,6,14,10,14,14,10,2,12,1,0
Flumph Familiar,Monstrous Menagerie,0.25,Small,Aberration,N/A,0,0,0,0,12,7,6,14,10,14,14,10,2,12,0,Flumph
Grimlock,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,0,0,12,13,14,14,14,14,10,8,2,12,2,0
Grimlock Technical,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,12,13,14,14,14,14,10,8,2,12,0,Grimlock
Fetid Witch,Dungeon Delver's Guide,2,Medium,Humanoid,N/A,0,0,1,0,12,39,14,14,14,14,14,6,2,12,0,0
Last Raven Fetch,Adventures in Zeitgeist,0.25,Medium,Humanoid,N/A,0,0,1,0,12,9,8,14,10,14,11,12,2,12,0,0
Mothman,Mythological Figures & Maleficent Monsters ,4,Medium,Aberration,N/A,0,0,1,1,12,42,13,15,18,14,17,12,2,12,0,0
Shadow Symbiote,Dungeon Delver's Guide,2,Small,Ooze,N/A,0,0,0,0,12,36,8,14,12,14,12,16,2,12,0,0
Revilock,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,0,0,12,39,14,14,14,14,10,8,2,12,0,Grimlock
Police Officer,Adventures in Zeitgeist,0.25,Medium,Humanoid,N/A,0,0,1,0,12,11,13,10,12,13,11,10,2,11,0,0
Trickster Priest,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,12,32,12,10,14,12,16,12,2,11,0,Priest
Celestial Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,12,31,17,10,10,12,15,13,2,13,0,0
Cutthroat,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,1,0,12,27,10,14,10,12,14,14,2,12,1,0
Jackalwere,Monstrous Menagerie,0.5,Medium,Fiend,N/A,0,0,0,0,12,18,10,14,10,12,10,14,2,12,1,0
Spy,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,1,0,12,27,10,14,10,12,14,14,2,12,0,Cutthroat
Undead Illusion,Planestrider's Journal,1,Medium,Construct,N/A,0,0,0,0,12,45,10,15,14,12,11,8,2,12,0,0
Jackalwere Pack Leader,Monstrous Menagerie,2,Medium,Fiend,N/A,0,0,0,0,12,36,10,14,10,12,10,14,2,12,0,Jackalwere
Gibberling Brood Mother,The Haunting of Calrow Ruins,1,Medium,Aberration,N/A,0,0,0,0,12,52,14,14,14,11,12,8,2,12,0,0
Cult Fanatic,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,12,39,10,14,14,10,14,14,2,12,1,0
Dragon Cultist,Monstrous Menagerie,2,Medium,Humanoid,N/A,0,0,1,0,12,39,10,14,14,10,14,14,2,12,0,Cult Fanatic
Bandit,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,12,9,12,10,10,10,10,10,2,11,1,0
Boggard,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,0,0,12,13,12,14,10,10,10,10,2,12,1,0
Boggard Bravo,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,12,27,12,14,10,10,10,10,2,12,0,Boggard
Cultist,Monstrous Menagerie,0.25,Medium,Humanoid,N/A,0,0,1,0,12,9,10,14,10,10,10,10,2,12,0,0
Family Bravura,Adventures in Zeitgeist,0.25,Medium,Humanoid,N/A,0,0,1,0,12,9,13,10,10,10,11,12,2,11,0,0
Faun,To Save A Kingdom,0.25,Medium,Fey,N/A,0,0,0,0,12,6,10,12,14,10,8,14,2,11,0,0
Bugbear,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,0,0,12,30,14,14,14,10,12,10,2,12,1,0
Kobold,Monstrous Menagerie,0.25,Small,Humanoid,N/A,0,0,0,0,12,7,6,14,8,10,8,10,2,12,1,0
Kobold Dragon Servitor,Monstrous Menagerie,0.25,Small,Humanoid,N/A,0,0,0,0,12,7,6,14,8,10,8,10,2,12,0,Kobold
Kobold Drakerider,Dungeon Delver's Guide,0.25,Small,Humanoid,N/A,0,0,0,0,12,14,12,14,10,10,12,8,2,12,0,0
Kobold Artillerist,Dungeon Delver's Guide,1,Small,Humanoid,N/A,0,0,0,0,12,21,8,14,10,10,12,10,2,12,1,0
